gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	significant	differentiation	diff_expr
LINC00085	190.7327036586308	-2.064219309980938	0.3925937094934237	-5.257902151933271	1.4570800685416853e-7	8.985480208305141e-7	TRUE	Healthy vs. Pre treatment	NA
MN1	1486.7928838737594	-2.065434135930079	0.3051630422169833	-6.768297107424534	1.3030695785935666e-11	2.3277939750565076e-10	TRUE	Healthy vs. Pre treatment	NA
GPR124	1827.2684103913405	-2.065814334948416	0.2819431333341689	-7.32706028523823	2.352560159825808e-13	6.896402851160182e-12	TRUE	Healthy vs. Pre treatment	NA
MIR940:ENSG00000260778	33.41986168279731	-2.0658536178512064	0.3612966929355449	-5.717886873157052	1.0785690644380292e-8	8.721740169273375e-8	TRUE	Healthy vs. Pre treatment	NA
BC039500	202.07262049366292	-2.0660863767876925	0.3273608785756528	-6.311341739358821	2.7662659079397806e-10	3.416093903106695e-9	TRUE	Healthy vs. Pre treatment	NA
BRD4	2481.750275425136	-2.0662669673831258	0.2479460032598033	-8.333536093413233	7.846291793964011e-17	7.450549212705341e-15	TRUE	Healthy vs. Pre treatment	NA
PCSK4	17.74963494049459	-2.0666003461356888	0.4330884191295822	-4.771774665065223	1.8260973863936895e-6	8.58042060419096e-6	TRUE	Healthy vs. Pre treatment	NA
NDOR1	556.5951756611848	-2.067231266929756	0.32653357680812767	-6.330838277450618	2.43832810965992e-10	3.0476764315052842e-9	TRUE	Healthy vs. Pre treatment	NA
TSPAN10	35.047968665899916	-2.067357152847435	0.3642791137813379	-5.675200895784506	1.3852598822947566e-8	1.0935055915079796e-7	TRUE	Healthy vs. Pre treatment	NA
MAP7D1	2276.1593270218686	-2.0674514388643352	0.2208533288334397	-9.36119663572533	7.883866581026887e-21	3.8554078547866736e-18	TRUE	Healthy vs. Pre treatment	NA
EXOC3L1	83.58861550626737	-2.0676893342667886	0.4085801088981359	-5.060670574108366	4.177845075029362e-7	2.3046482660081594e-6	TRUE	Healthy vs. Pre treatment	NA
LOC100630923	188.74171385106885	-2.0703178886288778	0.3303567737247438	-6.266915205903678	3.682705553809463e-10	4.3659032326101164e-9	TRUE	Healthy vs. Pre treatment	NA
SMG7-AS1	8.536007447574239	-2.0706498358004	0.5594477154642948	-3.701239237489662	2.145490699210071e-4	6.121345327778326e-4	TRUE	Healthy vs. Pre treatment	NA
RP11-175K6.1:ENSG00000245812	141.6676444300389	-2.0708133612907527	0.3409035641848226	-6.074484337652893	1.2438677482817919e-9	1.2962864690538164e-8	TRUE	Healthy vs. Pre treatment	NA
C19orf71	10.764216679368172	-2.0739672330906807	0.452375872919168	-4.584610624141893	4.5483323160926705e-6	1.949384935037001e-5	TRUE	Healthy vs. Pre treatment	NA
GRIA4	11.264991170797336	-2.074219103535854	0.7128590004161564	-2.9097186152169727	0.00361754288344592	0.00773532535451309	TRUE	Healthy vs. Pre treatment	NA
SYDE1	499.7925101091053	-2.0753906763818017	0.27764529260952975	-7.474971597305472	7.722053076305708e-14	2.664040215619329e-12	TRUE	Healthy vs. Pre treatment	NA
SLC22A17	483.14291246981185	-2.0763219427290047	0.2807825828408264	-7.39476758751114	1.41655818339456e-13	4.432965298924161e-12	TRUE	Healthy vs. Pre treatment	NA
POLR2J2	1104.0369334206148	-2.077530714485597	0.3334133468408997	-6.23109642781327	4.6318187983918383e-10	5.377033086963961e-9	TRUE	Healthy vs. Pre treatment	NA
AX746787	14.073545559309869	-2.0781332547904365	0.3682104666060496	-5.643873391067514	1.6626636315066826e-8	1.2880539919169196e-7	TRUE	Healthy vs. Pre treatment	NA
SYNGR1	278.9724303484801	-2.078489111020964	0.2653296433285595	-7.833610617141472	4.740553916026672e-15	2.43777543779951e-13	TRUE	Healthy vs. Pre treatment	NA
CTA-268H5.14:ENSG00000273287	5.817265240402446	-2.078726145454323	0.5325143676525894	-3.903605746109139	9.47701145908318e-5	2.944406307991202e-4	TRUE	Healthy vs. Pre treatment	NA
KIAA1984-AS1	93.73282676251492	-2.079010257490886	0.37708958300554946	-5.513305991961838	3.5215518896861005e-8	2.507647488684012e-7	TRUE	Healthy vs. Pre treatment	NA
FBXW4P1	182.80034065560497	-2.080085440921559	0.33421745225331945	-6.223748720772853	4.854143048565821e-10	5.598578547936088e-9	TRUE	Healthy vs. Pre treatment	NA
AJUBA	155.9259192181563	-2.0803502037200077	0.3260743324122794	-6.379987619171662	1.7710230099023316e-10	2.306456797383456e-9	TRUE	Healthy vs. Pre treatment	NA
MAP2K7	694.8726489818822	-2.081710545343251	0.24521841489911217	-8.489209695771459	2.0804702885240803e-17	2.4966919824429164e-15	TRUE	Healthy vs. Pre treatment	NA
BC045769	195.3306583580192	-2.0830565656807885	0.3704485370595266	-5.623065978921835	1.8759770879422577e-8	1.4339971792590268e-7	TRUE	Healthy vs. Pre treatment	NA
